mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins optiques,tx-equipements-optique,71,Saône-et-Loire,12.34,2020-12-31,12.46,2020-01-31,-0.0,-1.0,11.58,7.0,2020-09-30,20.0,-2.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,71,Saône-et-Loire,33.0,2020-12-31,24.0,2017-06-30,9.0,38.0,30.0,10.0,2020-06-30,35.0,82.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,71,Saône-et-Loire,4.0,2020-12-31,,,,,,,,,,,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,71,Saône-et-Loire,1973.0,2020-12-31,2166.0,2019-12-31,-193.0,-9.0,1511.0,31.0,2020-09-30,2801.0,-30.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,71,Saône-et-Loire,3.4,2020-12-31,2.6,2017-12-31,1.0,31.0,3.8,-11.0,2020-09-30,3.0,200.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,71,Saône-et-Loire,3484.0,2021-03-31,0.0,,3484.0,,,,,,,,dossiers validés
Offrir un logement aux sans-abri : Logement d’abord,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,71,Saône-et-Loire,288.0,2020-12-31,178.0,2017-12-31,110.0,62.0,297.0,-3.0,2019-12-31,,,,personnes dans l'année
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,71,Saône-et-Loire,74.0,2019-12-31,9.0,2017-12-31,65.0,722.0,,,,100.0,71.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,71,Saône-et-Loire,33.0,2020-12-31,9.0,2017-12-31,24.0,267.0,25.0,32.0,2020-09-30,,,,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,71,Saône-et-Loire,22.0,2021-04-30,0.0,2017-01-01,22.0,,10.0,120.0,2020-09-30,38.0,58.0,2022-12-31,labellisations
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,71,Saône-et-Loire,807.0,2021-03-31,0.0,,807.0,,,,,,,,logements
Déployer le Pass culture,Nombre d’utilisateurs du Pass culture,nb-utilisateurs-pass-culture,71,Saône-et-Loire,3878.0,2021-03-31,0.0,2017-01-01,3878.0,,2685.0,44.0,2020-10-31,,,,utilisateurs
