mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
Développer l’apprentissage,Nombre de contrats d’apprentissage,nombre-contrats-apprentissage,12,Aveyron,2585.0,2022-10-31,1411.0,2017-12-31,1174.0,83.0,1848.0,40.0,2020-12-31,1827.0,100.0,2022-12-31,contrats
Plan 1 jeune 1 solution,Nombre de recrutements de jeunes,nombre-recrutements-jeunes,12,Aveyron,7888.0,2022-07-31,6492.0,2019-07-31,1396.0,22.0,4188.0,88.0,2021-02-28,,,,Recrutements depuis le mois d'août précédent
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,12,Aveyron,656.0,2022-09-30,512.0,2017-01-31,144.0,28.0,590.0,11.0,2021-02-28,1003.0,29.0,2022-12-31,bénéficiaires *
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,12,Aveyron,109394.0,2022-12-31,0.0,2017-12-31,109394.0,,,,,130972.0,84.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,12,Aveyron,59.0,2022-12-31,57.0,2017-12-31,2.0,4.0,46.0,28.0,2020-09-30,56.0,100.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,12,Aveyron,8822.0,2022-12-31,0.0,2018-01-31,8822.0,,5758.0,53.0,2020-09-30,6211.0,100.0,2022-06-30,primes et bonus
Verdir le parc automobile,Nombre de bornes de recharge pour véhicules électriques déployées,nb-points-recharge,12,Aveyron,349.0,2022-12-31,171.0,2019-09-30,178.0,104.0,,,,414.0,73.0,2022-03-31,bornes de recharge
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,12,Aveyron,280000.0,2022-12-31,10000.0,2017-06-30,270000.0,2700.0,10000.0,2700.0,2020-06-30,280000.0,100.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,12,Aveyron,14.7,2021-12-31,12.5,2017-12-31,2.0,18.0,13.5,9.0,2019-12-31,15.0,88.0,2022-12-31,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,12,Aveyron,1211.0,2021-12-31,783.0,2017-12-31,428.0,55.0,,,,1390.0,71.0,2022-12-31,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,12,Aveyron,99.74,2022-12-31,0.0,2017-12-31,100.0,,,,,99.0,100.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,12,Aveyron,393659.0,2022-10-31,410709.0,2017-12-31,-17050.0,-4.0,,,,,,,heures de patrouille sur douze mois *
Renforcer la sécurité du quotidien,Atteintes aux personnes dans les transports en commun,nb-atteintes-personnes,12,Aveyron,13.0,2021-12-31,22.0,2017-12-31,-9.0,-41.0,,,,,,,atteintes aux personnes dans l'année
Renforcer la sécurité du quotidien,Atteintes aux biens dans les transports en commun,nb-atteintes-biens,12,Aveyron,85.0,2021-12-31,85.0,2017-12-31,0.0,0.0,,,,,,,atteintes aux biens dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,12,Aveyron,465.0,2022-12-31,0.0,2020-05-31,465.0,,82.0,467.0,2021-03-31,,,,amendes dressées
Lutter contre les violences faites aux femmes,Nombre d’ordonnances de protection délivrées,nb-ordonnances-delivrees,12,Aveyron,23.0,2020-12-31,,,,,,,,,,,ordonnances dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,12,Aveyron,79.0,2022-12-31,,,,,,,,,,,contrôles
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,12,Aveyron,22.0,2022-09-30,22.0,2017-12-31,0.0,0.0,18.0,22.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des personnes placées sous main de justice,Taux de personnes détenues ayant bénéficié d'une formation dans l'année,tx-detenus-formation,12,Aveyron,7.0,2022-09-30,6.0,2021-06-30,1.0,17.0,,,,,,,% de détenus
Lutter contre la récidive par une meilleure insertion professionnelle des personnes placées sous main de justice,Postes de travail d’intérêt général proposés sur l’ensemble du territoire national en tant que peine,nb-postes-tig,12,Aveyron,122.0,2022-12-31,110.0,2021-03-31,12.0,11.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,12,Aveyron,278.0,2022-10-31,0.0,2020-09-30,278.0,,34.0,718.0,2021-03-31,872.0,32.0,2022-12-31,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins audio,tx-equipements-audio,12,Aveyron,44.09,2022-06-30,0.0,2018-12-31,44.0,,19.65,124.0,2020-09-30,40.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,12,Aveyron,64.57,2022-06-30,0.0,2019-03-31,65.0,,69.47,-7.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,12,Aveyron,14.69,2022-06-30,0.0,2019-12-31,15.0,,11.43,29.0,2020-09-30,20.0,73.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,12,Aveyron,28.0,2022-12-31,17.0,2017-06-30,11.0,65.0,21.0,33.0,2020-06-30,24.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,12,Aveyron,3.0,2021-12-31,1.0,2017-12-31,2.0,200.0,,,,3.0,100.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,12,Aveyron,1151.0,2021-12-31,1036.0,2018-12-31,115.0,11.0,707.0,63.0,2020-09-30,1184.0,78.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,12,Aveyron,5.19,2022-09-30,4.9,2017-12-31,0.0,6.0,5.4,-4.0,2019-12-31,3.0,0.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,12,Aveyron,9342.0,2022-10-31,0.0,2019-12-31,9342.0,,1694.0,451.0,2021-03-31,8495.0,100.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,12,Aveyron,88.0,2022-11-30,77.0,2017-12-31,11.0,14.0,53.0,66.0,2019-12-31,79.0,100.0,2022-12-31,personnes dans l'année*
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats (national et local),tx-transparence-resultats,12,Aveyron,84.0,2022-12-31,6.0,2017-12-31,78.0,1300.0,,,,100.0,83.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,12,Aveyron,76.0,2022-09-30,3.0,2017-12-31,73.0,2433.0,35.0,117.0,2020-09-30,,,,% de déploiement
Déployer une offre France services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,12,Aveyron,30.0,2022-12-31,7.0,2020-01-31,23.0,329.0,13.0,131.0,2020-09-30,30.0,100.0,2022-12-31,labellisations
Déployer le pass Culture,Nombre d’utilisateurs du pass Culture de 18 ans,nb-utilisateurs-pass-culture,12,Aveyron,4442.0,2022-12-31,0.0,2019-01-31,4442.0,,,,,5067.0,88.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,12,Aveyron,70.0,2022-12-31,0.0,2020-09-30,70.0,,,,,260.0,27.0,2022-12-31,bénéficiaires
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,12,Aveyron,377.0,2022-06-30,0.0,2020-09-30,377.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,12,Aveyron,983.0,2022-09-30,0.0,2019-12-31,983.0,,774.0,27.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,12,Aveyron,983.0,2022-09-30,0.0,2019-12-31,983.0,,774.0,27.0,2021-03-31,,,,logements rénovés
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,12,Aveyron,1320.0,2022-12-31,0.0,2019-03-31,1320.0,,81.0,1530.0,2020-12-31,304.0,100.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,12,Aveyron,1949.0,2022-12-31,0.0,2019-03-31,1949.0,,31.0,6187.0,2021-06-30,717.0,100.0,2022-12-31,attestations
Simplifier l’accès à l’aide juridictionnelle,Nombre de demandes d'aide juridictionnelle formulées par voie dématérialisée,nb-aide-juridictionnelle-dematerialisee,12,Aveyron,81.8,2022-11-30,0.0,2021-01-31,82.0,,,,,15.0,100.0,2022-12-31,% des demandes *
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,12,Aveyron,83.0,2022-12-31,50.0,2019-09-30,33.0,66.0,,,,90.0,82.0,2022-12-31,%
