mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins dentaires,tx-equipements-dentaire,73,Savoie,47.19,2021-09-30,0.0,2019-03-31,47.0,,45.88,3.0,2020-09-30,45.0,100.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements vendus sans reste à charge dans le total des soins optiques,tx-equipements-optique,73,Savoie,10.87,2021-09-30,0.0,2019-12-31,11.0,,9.41,16.0,2020-09-30,20.0,54.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,73,Savoie,24.0,2021-12-31,19.0,2017-06-30,5.0,26.0,19.0,26.0,2020-06-30,23.0,100.0,2022-12-31,maisons de santé
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de centres de santé,nb-centres-sante,73,Savoie,1.0,2021-12-31,1.0,2017-12-31,0.0,0.0,,,,3.0,0.0,2022-12-31,centres de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité,nb-peres-conge-paternite,73,Savoie,2113.0,2021-12-31,2145.0,2018-12-31,-32.0,-1.0,1510.0,40.0,2020-09-30,2363.0,0.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,73,Savoie,3.7,2021-09-30,2.4,2017-12-31,1.0,54.0,3.0,23.0,2020-09-30,3.0,0.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,73,Savoie,4309.0,2022-01-31,0.0,2019-12-31,4309.0,,1191.0,262.0,2021-03-31,7957.0,54.0,2022-12-31,dossiers validés
Faciliter l’accès au logement des personnes sans-abri,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,73,Savoie,202.0,2021-12-31,139.0,2017-12-31,63.0,45.0,189.0,7.0,2019-12-31,249.0,57.0,2022-12-31,personnes dans l'année*
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats (national et local),tx-transparence-resultats,73,Savoie,78.0,2019-12-31,7.0,2017-12-31,71.0,1014.0,,,,100.0,76.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,73,Savoie,30.0,2021-09-30,9.0,2017-12-31,21.0,233.0,24.0,25.0,2020-09-30,,,,% de déploiement
Déployer une offre France services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,73,Savoie,24.0,2022-03-31,4.0,2020-01-31,20.0,500.0,9.0,167.0,2020-09-30,34.0,67.0,2022-12-31,labellisations
Déployer le pass Culture,Nombre d’utilisateurs du pass Culture de 18 ans,nb-utilisateurs-pass-culture,73,Savoie,4833.0,2022-02-28,0.0,2019-01-31,4833.0,,,,,9041.0,53.0,2022-12-31,utilisateurs
Accompagner les aidants,Nombre de bénéficiaires d'un congé de proche aidant indemnisé,nb-beneficiaires-ajpa,73,Savoie,52.0,2021-12-31,0.0,2020-09-30,52.0,,,,,315.0,17.0,2022-12-31,bénéficiaires
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les petites villes (- de 20 000 habitants),nb-logements-renoves-petites-villes,73,Savoie,127.0,2022-02-28,0.0,2020-09-30,127.0,,,,,,,,logements rénovés
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,73,Savoie,537.0,2022-02-28,0.0,2019-12-31,537.0,,478.0,12.0,2021-03-31,,,,logements
Redynamiser les cœurs de ville,Nombre de logements rénovés dans les villes moyennes (+ de 20 000 habitants),nb-logement-accompagnement,73,Savoie,537.0,2022-02-28,0.0,2019-12-31,537.0,,478.0,12.0,2021-03-31,,,,logements rénovés
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d'enfants ayant suivi un cycle d’Aisance Aquatique,nb-cycle-aisance-aquatique,73,Savoie,0.0,2021-12-31,0.0,2019-03-31,0.0,,,,,544.0,0.0,2022-12-31,enfants
Apprendre à nager et à circuler à vélo en toute sécurité,Nombre d’attestations « savoir rouler à vélo » délivrées,nb-attestations-savoir-rouler-velo,73,Savoie,471.0,2021-12-31,0.0,2019-03-31,471.0,,192.0,145.0,2021-06-30,1222.0,39.0,2022-12-31,attestations
Simplifier l’accès à l’aide juridictionnelle,Nombre de demandes d'aide juridictionnelle formulées par voie dématérialisée,nb-aide-juridictionnelle-dematerialisee,73,Savoie,1.2,2021-12-31,0.0,2021-01-31,1.0,,,,,15.0,8.0,2022-12-31,% des demandes *
Garantir l'égalité professionnelle entre les femmes et les hommes,Part des entreprises respectant leur obligation de publier l’index égalité professionnelle,tx-entreprise-egalite-pro,73,Savoie,75.0,2021-12-31,50.0,2019-03-31,25.0,50.0,,,,90.0,62.0,2022-12-31,%
