mesure,indicateur,id_indicateur,code_departement,libelle_departement,valeur_actuelle,date_valeur_actuelle,valeur_initiale,date_valeur_initiale,progression,pourcentage_progression,progression_derniere_maj,pourcentage_progression_derniere_maj,progression_derniere_maj_date,cible,pourcentage_cible,date_cible,unite
Pacte d'ambition pour l'insertion par l'activité économique,Nombre de bénéficiaires en structures d'insertion par l'activité économique,nb-beneficiaires-siae,88,Vosges,1382.0,2020-12-31,1370.0,2017-01-31,12.0,1.0,,,,,,,bénéficiaires
Supprimer la taxe d’habitation sur les résidences principales,Nombre de bénéficiaires totalement exonérés,nb-beneficiaires-suppression-taxe-habitation,88,Vosges,145066.0,2020-12-31,0.0,2017-01-01,145066.0,,,,,170328.0,85.0,2023-12-31,bénéficiaires
Déployer le plan vélo,Kilomètres d'aménagements cyclables sécurisés,km-amenagement-cyclables-securises,88,Vosges,237.0,2021-03-31,218.0,2017-12-31,19.0,9.0,241.0,-2.0,2020-09-30,257.0,49.0,2022-03-31,kilomètres
Verdir le parc automobile,Nombre de primes à la conversion et de bonus écologiques,nb-primes-conversion,88,Vosges,6979.0,2021-03-31,0.0,2018-03-31,6979.0,,6110.0,14.0,2020-09-30,7990.0,87.0,2022-06-30,primes et bonus
Mettre en œuvre la sortie du plastique à usage unique et lutter contre le gaspillage,Nombre de Français qui peuvent mettre tous les emballages dans le bac jaune,nb-francais-emballages-bac-jaune,88,Vosges,0.0,2020-12-31,0.0,2017-06-30,0.0,,,,,370000.0,0.0,2022-12-31,habitants
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Surface agricole cultivée en agriculture biologique,surface-agriculture-biologique,88,Vosges,10.8,2019-12-31,9.6,2017-12-31,1.0,13.0,,,,,,,% de surface agricole
Réduire l'utilisation des produits phytosanitaires et accélérer la transition écologique,Nombre d’agriculteurs engagés dans une démarche certifiée de transition agro-écologique,nb-agriculteurs-agro-eco,88,Vosges,331.0,2019-12-31,278.0,2017-12-31,53.0,19.0,,,,,,,agriculteurs
Sécuriser le paiement des aides PAC,Taux de bénéficiaires payés dans les délais prévus,taux-paiement-dpb,88,Vosges,99.78,2020-12-31,0.0,2017-12-31,100.0,,,,,99.0,101.0,2022-12-31,%
Renforcer la sécurité du quotidien,Nombre d’heures de patrouille de voie publique,nb-heures-patrouille,88,Vosges,72252.0,2021-02-28,126663.0,2017-03-31,-54411.0,-43.0,,,,,,,heures de patrouille dans l'année
Lutter contre les stupéfiants,Nombre d'amendes forfaitaires délictuelles dressées,nb-amendes-delictuelles-dressees,88,Vosges,80.0,2021-03-31,0.0,,80.0,,,,,,,,amendes dressées dans l'année
Lutter contre les atteintes aux principes républicains,Nombre de contrôles réalisés dans le cadre des CLIR ou des dispositifs existant localement avant la mise en place progressive des CLIR,nb-controles-clir,88,Vosges,5.0,2020-12-31,,,,,,,,,,,contrôles dans l'année
Réduire la mortalité sur les routes,Nombre de morts sur les routes,nb-morts-routes,88,Vosges,14.0,2020-12-31,16.0,2017-12-31,-2.0,-12.0,22.0,-36.0,2019-12-31,,,,morts dans l'année
Lutter contre la récidive par une meilleure insertion professionnelle des condamnés,Postes de travail d'intérêt général proposés en tant que peine,nb-postes-tig,88,Vosges,215.0,2021-03-31,215.0,2021-03-31,0.0,0.0,,,,,,,postes
Lutter contre les impayés de pensions alimentaires,Nombre de familles bénéficiaires d'une pension alimentaire versée par l'intermédiaire du service public des pensions alimentaires,nb-familles-aripa,88,Vosges,25.0,2021-03-31,6.0,2020-12-31,19.0,317.0,,,,,,,familles
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins auditives 100% santé dans le total des soins,tx-equipements-audio,88,Vosges,7.52,2020-12-31,7.92,2019-01-31,-0.0,-5.0,12.71,-41.0,2020-09-30,40.0,-1.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins dentaires,tx-equipements-dentaire,88,Vosges,61.62,2020-12-31,34.3,2019-04-30,27.0,80.0,64.9,-5.0,2020-09-30,45.0,255.0,2022-12-31,%
"Proposer une offre de lunettes, appareils auditifs et prothèses dentaires remboursée à 100%",Part des équipements/soins 100% santé dans le total des soins optiques,tx-equipements-optique,88,Vosges,12.68,2020-12-31,15.89,2020-01-31,-3.0,-20.0,12.95,-2.0,2020-09-30,20.0,-78.0,2022-12-31,%
Doubler le nombre de maisons de santé et de centres de santé dans les territoires,Nombre de maisons de santé pluri-professionnelles,nb-maisons-sante,88,Vosges,28.0,2020-12-31,21.0,2017-06-30,7.0,33.0,28.0,0.0,2020-06-30,30.0,78.0,2022-12-31,maisons de santé
Allonger le congé paternité pour un meilleur développement de l’enfant,Nombre de pères / conjoints prenant un congé de paternité et d’accueil de l’enfant,nb-peres-conge-paternite,88,Vosges,1403.0,2020-12-31,1471.0,2019-12-31,-68.0,-5.0,1040.0,35.0,2020-09-30,1874.0,-17.0,2022-12-31,pères / conjoints dans l'année
Simplifier l’accès aux droits des personnes handicapées,Durée moyenne de traitement pour les demandes d’allocation adulte handicapé,duree-moyenne-traitement-demandes-allocation-adulte-handicape,88,Vosges,3.0,2020-12-31,2.7,2017-12-31,0.0,11.0,3.6,-17.0,2020-09-30,3.0,100.0,2022-12-31,mois de traitement
MaPrimeRénov',Nombre de dossiers MaPrimeRénov' validés,nb-maprimerenov-valides,88,Vosges,2317.0,2021-03-31,0.0,,2317.0,,,,,,,,dossiers validés
Offrir un logement aux sans-abri : Logement d’abord,Nombre de personnes sans-abri ou en hébergement ayant obtenu un logement social,logement-sans-domicile-hebergement-urgence,88,Vosges,220.0,2020-12-31,141.0,2017-12-31,79.0,56.0,174.0,26.0,2019-12-31,,,,personnes dans l'année
Améliorer la qualité du service rendu à l’usager,Part des lieux d’accueil du public qui publient leurs résultats,tx-transparence-resultats,88,Vosges,80.0,2019-12-31,7.0,2017-12-31,73.0,1043.0,,,,100.0,78.0,2022-12-31,% de réseaux
Assurer une bonne couverture en internet fixe et en téléphonie mobile pour tous les Français d'ici 2022,Taux de déploiement de la fibre,taux-deploiement-fibre,88,Vosges,27.0,2020-12-31,2.0,2017-12-31,25.0,1250.0,22.0,23.0,2020-09-30,,,,% de déploiement
Déployer une offre France Services dans tous les territoires ,Nombre de labellisations (atteinte de l'objectif fixé),nb-labellisations-france-services,88,Vosges,10.0,2021-04-30,0.0,2017-01-01,10.0,,6.0,67.0,2020-09-30,24.0,42.0,2022-12-31,labellisations
Redynamiser les cœurs de ville,Nombre de logements ayant bénéficié d'un accompagnement (réhabilitation ou subvention),nb-logement-accompagnement,88,Vosges,446.0,2021-03-31,0.0,,446.0,,,,,,,,logements
